Epoch,Time (ms),Loss,Acc (%),Val Loss,Val Acc (%)
0,907,254568.3750,16.24,33332.4922,10.05
1,872,183831.0625,23.70,27605.1660,10.25
2,872,156867.6406,30.80,23629.5059,10.21
3,872,136771.0625,36.34,20747.8750,10.26
4,871,122006.8984,40.84,18647.3984,10.46
5,871,110986.2422,44.57,17065.5840,10.35
6,871,102376.9219,47.67,15808.7451,10.46
7,871,95423.8359,50.56,14786.0166,10.45
8,871,89771.1484,52.98,13953.9434,10.36
9,871,85093.2578,55.15,13274.8408,10.30
10,871,81225.6797,57.01,12697.1465,10.41
11,871,77982.3750,58.58,12202.1943,10.33
12,871,75230.7422,59.96,11787.1299,10.32
13,871,72867.3438,61.13,11433.7207,10.31
14,871,70838.6797,62.29,11133.0469,10.21
15,871,69100.2578,63.08,10882.9727,10.07
16,871,67623.0781,63.85,10673.0811,10.09
17,871,66314.1562,64.61,10479.8496,10.10
18,871,65125.0859,65.24,10300.3887,10.07
19,871,64037.8281,65.75,10128.5205,10.10
20,871,63010.4258,66.25,9974.8701,10.12
21,871,62126.4492,66.67,9854.5176,10.22
22,871,61445.3555,66.95,9767.3369,10.08
23,871,60956.5430,67.18,9701.3633,10.09
24,871,60588.2812,67.36,9670.0391,9.99
25,871,60286.1641,67.52,9634.9834,9.97
26,871,59867.8359,67.65,9562.9434,9.97
27,871,59197.0469,68.09,9451.3467,9.99
28,871,58433.4453,68.52,9323.9062,10.05
29,871,57596.6523,68.99,9184.2139,10.07
30,871,56712.0195,69.44,9048.0195,10.23
31,871,55847.7266,69.93,8922.1699,10.15
32,871,55067.6875,70.32,8810.1514,10.15
33,871,54365.4141,70.64,8717.0371,10.22
34,871,53753.7305,70.93,8646.0918,10.30
35,871,53223.1953,71.24,8588.7812,10.37
36,871,52765.2852,71.50,8545.3750,10.37
37,871,52371.5352,71.74,8500.1611,10.31
38,871,51994.5938,71.89,8457.1191,10.30
39,871,51591.7891,72.19,8410.6807,10.36
40,871,51164.5977,72.49,8356.5479,10.41
41,871,50708.6289,72.82,8304.0957,10.48
42,871,50261.4961,73.12,8253.3506,10.49
43,871,49830.4727,73.31,8204.5420,10.39
44,871,49423.1211,73.59,8159.3408,10.41
45,871,49029.6328,73.76,8109.9126,10.41
46,871,48678.2031,74.06,8055.3188,10.32
47,871,48347.6641,74.24,8001.0601,10.26
48,871,48039.9844,74.56,7966.2334,10.27
49,872,47796.6992,74.70,7944.6294,10.38
50,871,47641.3906,74.71,7942.3979,10.34
51,871,47632.3555,74.70,7954.4819,10.34
52,871,47774.9922,74.54,7958.2690,10.31
53,871,47898.7891,74.51,7979.6919,10.44
54,871,47984.4023,74.36,7988.5337,10.55
55,872,48032.0312,74.31,7994.6270,10.53
56,874,48072.4453,74.21,8004.7173,10.57
57,873,48133.0664,74.11,8014.1895,10.50
58,873,48228.4219,74.06,8011.5854,10.54
59,873,48477.2578,73.93,8016.1772,10.53
60,873,49020.8398,73.59,8073.5684,10.53
61,873,49401.3438,73.39,8089.6860,10.50
62,873,49589.1328,73.22,8119.2402,10.40
63,874,49854.1250,73.01,8142.0991,10.44
64,874,50202.7500,72.85,8196.8896,10.37
65,873,50590.5938,72.48,8264.6592,10.31
66,873,50923.0781,72.30,8334.9961,10.24
67,874,51030.7422,72.31,8406.4648,10.32
68,873,50955.7656,72.50,8461.2148,10.37
69,874,51233.5117,72.56,8543.5557,10.40
70,874,51745.4961,72.39,8656.8496,10.40
71,873,52486.3555,72.16,8769.9961,10.38
72,874,53308.8164,71.98,8875.5625,10.28
73,873,54043.1953,71.72,8890.2441,10.41
74,873,55139.8242,71.31,8800.0596,10.37
75,873,56574.9453,70.79,8757.5947,10.36
76,874,58473.5625,70.05,8802.7139,10.49
77,873,61259.1914,69.07,8870.5859,10.51
78,873,65557.3281,67.77,9110.4766,10.37
79,873,73249.1953,65.79,9316.6406,10.41
80,873,85395.4219,62.93,9659.0176,10.44
81,873,103277.8438,60.16,10307.9150,10.58
82,873,131331.0781,56.40,11341.2256,10.38
83,874,163385.0469,52.69,14930.3809,10.35
84,873,234430.0312,45.93,22068.0059,10.03
85,873,326706.7188,38.60,30753.1055,10.30
86,874,421760.0312,31.76,45998.6523,9.74
87,874,516652.0938,25.77,70536.3594,9.95
88,874,590915.6875,21.41,89285.8047,10.01
89,874,651510.7500,17.37,121211.3516,9.37
90,875,699905.3750,14.02,123556.9688,9.45
91,873,727394.1875,11.71,121980.9297,9.95
92,872,739827.2500,10.64,123818.8203,10.71
93,873,741527.4375,10.50,121940.3203,9.73
94,873,756394.5000,10.64,138142.3906,10.01
95,871,828767.4375,9.87,138142.3906,10.01
96,870,828767.4375,9.87,138142.3906,10.01
97,869,828767.4375,9.87,138142.3906,10.01
98,869,828767.4375,9.87,138142.3906,10.01
99,869,828767.4375,9.87,138142.3906,10.01
